@RELATION music_genre
@ATTRIBUTE TEMPO NUMERIC
@ATTRIBUTE class {blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock}

@DATA
103.359375,metal
123.046875,metal
95.703125,metal
117.453835,metal
151.999081,metal
89.102909,pop
107.666016,pop
83.354335,pop
92.285156,pop
107.666016,pop
172.265625,pop
92.285156,pop
129.199219,pop
172.265625,pop
107.666016,pop
107.666016,pop
184.570312,pop
99.384014,pop
143.554688,pop
117.453835,pop
103.359375,pop
107.666016,pop
107.666016,pop
123.046875,pop
92.285156,pop
107.666016,pop
99.384014,pop
103.359375,pop
103.359375,pop
117.453835,pop
151.999081,pop
75.99954,pop
83.354335,pop
99.384014,pop
161.499023,pop
95.703125,pop
95.703125,pop
95.703125,pop
99.384014,pop
95.703125,pop
107.666016,pop
99.384014,pop
103.359375,pop
92.285156,pop
83.354335,pop
129.199219,pop
107.666016,pop
92.285156,pop
135.999178,pop
117.453835,pop
117.453835,pop
117.453835,pop
112.347147,pop
129.199219,pop
58.726918,pop
143.554688,pop
112.347147,pop
103.359375,pop
161.499023,pop
129.199219,pop
103.359375,pop
89.102909,pop
103.359375,pop
99.384014,pop
89.102909,pop
129.199219,pop
95.703125,pop
161.499023,pop
80.749512,pop
129.199219,pop
117.453835,pop
80.749512,pop
112.347147,pop
129.199219,pop
107.666016,pop
123.046875,pop
112.347147,pop
117.453835,pop
129.199219,pop
83.354335,pop
95.703125,pop
215.332031,pop
112.347147,pop
103.359375,pop
112.347147,pop
112.347147,pop
143.554688,pop
129.199219,pop
123.046875,pop
99.384014,pop
117.453835,pop
129.199219,pop
103.359375,pop
99.384014,pop
99.384014,pop
123.046875,reggae
151.999081,reggae
103.359375,reggae
143.554688,reggae
123.046875,reggae
161.499023,reggae
75.99954,reggae
151.999081,reggae
95.703125,reggae
161.499023,reggae
117.453835,reggae
123.046875,reggae
129.199219,reggae
123.046875,reggae
129.199219,reggae
129.199219,reggae
143.554688,reggae
129.199219,reggae
151.999081,reggae
143.554688,reggae
129.199219,reggae
151.999081,reggae
151.999081,reggae
129.199219,reggae
135.999178,reggae
123.046875,reggae
135.999178,reggae
135.999178,reggae
78.302557,reggae
151.999081,reggae
75.99954,reggae
161.499023,reggae
151.999081,reggae
89.102909,reggae
184.570312,reggae
107.666016,reggae
86.132812,reggae
151.999081,reggae
95.703125,reggae
151.999081,reggae
92.285156,reggae
143.554688,reggae
123.046875,reggae
151.999081,reggae
172.265625,reggae
161.499023,reggae
172.265625,reggae
143.554688,reggae
89.102909,reggae
95.703125,reggae
95.703125,reggae
86.132812,reggae
99.384014,reggae
75.99954,reggae
151.999081,reggae
129.199219,reggae
161.499023,reggae
95.703125,reggae
123.046875,reggae
151.999081,reggae
112.347147,reggae
92.285156,reggae
151.999081,reggae
184.570312,reggae
172.265625,reggae
89.102909,reggae
161.499023,reggae
83.354335,reggae
135.999178,reggae
143.554688,reggae
172.265625,reggae
143.554688,reggae
112.347147,reggae
83.354335,reggae
172.265625,reggae
143.554688,reggae
161.499023,reggae
143.554688,reggae
161.499023,reggae
151.999081,reggae
99.384014,reggae
99.384014,reggae
99.384014,reggae
129.199219,reggae
198.768029,reggae
86.132812,reggae
129.199219,reggae
83.354335,reggae
107.666016,reggae
151.999081,reggae
123.046875,rock
151.999081,rock
107.666016,rock
95.703125,rock
103.359375,rock
99.384014,rock
112.347147,rock
89.102909,rock
172.265625,rock
75.99954,rock
161.499023,rock
117.453835,rock
112.347147,rock
123.046875,rock
117.453835,rock
135.999178,rock
143.554688,rock
123.046875,rock
117.453835,rock
117.453835,rock
99.384014,rock
184.570312,rock
198.768029,rock
73.828125,rock
73.828125,rock
103.359375,rock
112.347147,rock
151.999081,rock
135.999178,rock
123.046875,rock
117.453835,rock
117.453835,rock
92.285156,rock
117.453835,rock
135.999178,rock
129.199219,rock
135.999178,rock
129.199219,rock
135.999178,rock
143.554688,rock
112.347147,rock
117.453835,rock
161.499023,rock
89.102909,rock
92.285156,rock
151.999081,rock
103.359375,rock
107.666016,rock
129.199219,rock
112.347147,rock
123.046875,rock
172.265625,rock
129.199219,rock
117.453835,rock
107.666016,rock
129.199219,rock
135.999178,rock
123.046875,rock
135.999178,rock
117.453835,rock
89.102909,rock
80.749512,rock
123.046875,rock
75.99954,rock
151.999081,rock
123.046875,rock
75.99954,rock
103.359375,rock
123.046875,rock
172.265625,rock
172.265625,rock
112.347147,rock
103.359375,rock
95.703125,rock
112.347147,rock
117.453835,rock
95.703125,rock
107.666016,rock
99.384014,rock
123.046875,rock
117.453835,rock
117.453835,rock
99.384014,rock
123.046875,rock
129.199219,rock
184.570312,rock
129.199219,rock
129.199219,rock
92.285156,rock
107.666016,rock
